INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
56	185	"Watch horrific moment A55 lorry driver killed man while fiddling with satnav; Police issue dashcam footage as warning to other drivers as Nicholas Clough, 36, is jailed for three-and-a-half years"	dailypost.co.uk	United Kingdom		Urban	4	2016	major-death	crash	crash with vehicle		morning/afternoon	no	paved road	truck	36	M	yes		yes				
57	188	Driver died at wheel moments before collision killed wife	Tamworth Herald	United Kingdom		Urban	4	2010	major-death	crash	crash with vehicle		morning/afternoon	no	paved road	car	77	M	yes		no				
58	189	DRIVERS DON'T ALWAYS FIND WAY WITH GPS	Pittsburgh Post-Gazette (Pennsylvania)	United States			1	2010	low	detour				no	paved road	car		M	yes		no	incorrect routing preference			
59	189	DRIVERS DON'T ALWAYS FIND WAY WITH GPS	Pittsburgh Post-Gazette (Pennsylvania)	United States		Rural	1	2010	major-injury	stranded/stuck			evening/night	extreme	paved road	car		M	yes	no	no	incorrect routing preference			http://www.spokesman.com/stories/2010/jan/02/sense-of-directions/
60	189	DRIVERS DON'T ALWAYS FIND WAY WITH GPS	Pittsburgh Post-Gazette (Pennsylvania)	Canada		Urban			low	detour				no		car			yes		no	incorrect routing preference			
61	192	Improved signs for confused motorists	East Anglian Daily Times	United States		Urban	2	2013	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck					no	missing or incorrect attributes	road characteristics	Yes	
62	193	GPS glitch	The Nelson Mail (New Zealand)	New Zealand		Rural	11	2014	medium	crash	crash with environment	barricade	morning/afternoon	no	road_for_other_transportation	car			yes	no	no	missing or incorrect attributes	temporary blocakge		
63	197	Nation & world	Charleston Daily Mail (West Virginia)	United States	"@43.0703978,-87.8752638,15.61z"	Urban	11	2014	medium	crash	crash with environment	building/wall/guardrail/pole	morning/afternoon	no	paved road	truck	50	M		no	no	missing or incorrect attributes	clearance height		
64	200	MCFARLAND MAN GUILTY IN CRASH DEATH	"Wisconsin State Journal (Madison, Wisconsin)"	United States		Rural	1	2016	major-death	crash	crash with pedestrian		evening/night	no	paved road	car	20	M			yes				
65	203	"Killed car driver, 21 confused by satnav"	The Sun (England)	United Kingdom		Urban	5	2012	major-death	crash	crash with vehicle			no	paved road	car	21	F	yes		no	instruction/visualization			
66	214	DEATH CROSSROADS WHERE SATNAV SAYS: DRIVE STRAIGHT ON	DAILY MAIL (London)	United Kingdom		Rural	7	2015	major-death	crash	crash with vehicle			no	paved road	car					no	instruction/visualization		Yes	
67	215	"New Jersey: Hunterdon fires, drug deaths and odd marriage proposals among biggest 2014 news"	US Official News	United States	"@40.4886673,-74.8950026,18.27z"	Urban	3	2014	major-injury	crash	crash with vehicle		morning/afternoon	no	paved road	car		M	yes	no	yes				http://www.nj.com/hunterdon-county-democrat/index.ssf/2014/03/cell_phone_use_led_to_route_52.html
68	221	Sat-nav glitch leads to a dead end	Sydney Morning Herald (Australia)	Australia		Urban	1	2012	medium	crash	crash with environment			no	off-road	car	25	F		no	no	incorrect routing preference			
69	225	Google launches official maps app for the iPhone and iPad	AFP - RELAXNEWS (English International Version)	Australia	"@-38.7228678,143.6746539,14.24z"	Rural	12	2012	major-injury	crash	crash with environment	building/wall/guardrail/pole		no	dirt road	truck		M	yes	no	no	missing or incorrect attributes	road characteristics		http://www.colacherald.com.au/2012/12/maps-sending-drivers-to-doom/
70	230	Israeli soldiers' app use leads to deadly fight in West Bank camp; Palestinian killed during rescue of two soldiers who mistakenly entered refugee camp while using Waze navigation app	The Guardian	Israel		Urban	3	2016	major-death	trespass				no		SPV					no	missing or incorrect attributes	geopolitical boundary		
71	237	GPS distraction led to pedestrian death	Sarasota Herald Tribune (Florida)	United States		Urban	1	2013	major-death	crash	crash with pedestrian			no	paved road	car	18	F		no	yes				
72	242	"Man, 18, arrested for alleged child abuse"	Cleburne Times-Review (Texas)	United States	"@32.3799441,-97.4092652,16.12z"	Urban	1	2013	medium	crash	crash with vehicle		morning/afternoon	no	paved road	car					yes				
73	244	 ` A SatNav led me astray ...	The Examiner Newspaper	Spain		Urban	2	2012	low	detour				no		car		M	yes	no	no	toponym disambiguation			
74	249	"FRY IN JULY; DON'T WORRY, WE'LL SOON BE ABLE TO PUT THE WETTEST-EVER JUNE BEHIND US BECAUSE WE'LL.."	The Mirror	United Kingdom		Urban	6	2012	medium	stranded/stuck			morning/afternoon	extreme	paved road	car		F	yes	no	no	missing or incorrect attributes	temporary blocakge		http://www.itv.com/news/central/update/2012-06-12/woman-following-satnav-directions-stuck-in-floodwater/
75	255	DEATH DRIVER HAD TOO MUCH FAITH IN SATNAV	DAILY MAIL (London)	United Kingdom		Urban	12	2011	major-death	crash	crash with vehicle		morning/afternoon	no	paved road	car	33	M			yes				
76	267	"Stop sign, power line damaged in crash"	"Telegraph Herald (Dubuque, IA)"	United States		Urban	2	2011	medium	crash	crash with environment	building/wall/guardrail/pole	morning/afternoon	no	paved road	truck	60	M			no	incorrect routing preference			
77	268		South China Morning Post	China		Urban	4	2014	major-injury	crash	crash with environment	water	evening/night	extreme	paved road	car		M	yes	no	no	missing or incorrect attributes	transit to ferry		http://news.qq.com/a/20140415/001454.htm
